Pitcher,Team,throw_hand,active_spin_fastball,active_spin_cutter,active_spin_change,active_spin_slider,active_spin_curve,Average_Active_Spin,ERA_2020,K/9_2020,BB/9_2020
"Mahle, Tyler",CIN,R,99.9,,88.1,23.8,,70.6,3.59,11.3,4
"Cole, Gerrit",NYY,R,99.9,,99,29.1,70.5,74.625,2.84,11.6,2.1
"May, Dustin",LAD,R,97.7,30.5,83.7,,53.1,66.25,2.57,7.1,2.6
"Urquidy, Jose",HOU,R,96.7,,92.8,68.7,85.9,86.025,2.73,5.2,2.4
"Gonsolin, Tony",LAD,R,96.6,,90.1,22.6,75,71.075,2.31,8.9,1.4
"Cobb, Alex",BAL,R,96.5,,73.9,,66.1,78.83333333,4.3,6.5,3.1
"Ponce de Leon, Daniel",STL,R,95.9,29.8,92.5,,86.9,76.275,4.96,12.4,5.5
"Bauer, Trevor",CIN,R,95.7,28.3,,79.3,100,75.825,1.73,12.3,2.1
"McKenzie, Triston",CLE,R,95.2,,78.5,26.7,50,62.6,3.24,11.3,2.4
"Bieber, Shane",CLE,R,94.8,39.7,92.1,26.9,87.1,68.12,1.63,14.2,2.4
"Lopez, Jorge",BAL,R,94.6,,87.6,,70.1,84.1,6.69,6.6,2.8
"Davies, Zach",SD,R,94.3,66.1,83.3,,71.6,78.825,2.73,8.2,2.5
"Fiers, Mike",OAK,R,94.3,,80.7,52.7,89.6,79.325,4.58,5.4,2.4
"Weber, Ryan",BOS,R,94.2,25.7,80,,90.5,72.6,4.4,5.7,2.9
"Quantrill, Cal",CLE,R,93.9,,77,21.4,,64.1,2.25,8,1.2
"Nola, Aaron",PHI,R,93.8,,84.8,,86.2,88.26666667,3.28,12.1,2.9
"Canning, Griffin",LAA,R,93.8,,94.6,34.7,23.4,61.625,3.99,8.9,3.7
"Thompson, Ryan",TB,R,93.6,,,84.1,,88.85,4.44,7.9,2.7
"Walker, Taijuan",TOR,R,93.5,30.6,85.8,,86.1,74,2.7,8.3,2.7
"Giolito, Lucas",CWS,R,93.2,,85.5,23.2,,67.3,3.48,12.1,3.5
"Buehler, Walker",LAD,R,93.1,49.5,,50.9,86.1,69.9,3.44,10.3,2.7
"Lorenzen, Michael",CIN,R,92.9,41.9,89.3,44.6,79.3,69.6,4.28,9.4,4.5
"Montas, Frankie",OAK,R,92.9,,72.6,29.4,,64.96666667,5.6,10.2,3.9
"Berrios, Jose",MIN,R,92.7,,75.7,,72.6,80.33333333,4,9.7,3.7
"Gausman, Kevin",SF,R,92.5,,76,16.1,,61.53333333,3.62,11.9,2.4
"Anderson, Ian",ATL,R,92.3,,81.3,,41.5,71.7,1.95,11.4,3.9
"Kuhl, Chad",PIT,R,91.8,,81.9,21.8,61.4,64.225,4.27,8.5,5.4
"Paddack, Chris",SD,R,91.7,28.6,79,,88.6,71.975,4.73,8.8,1.8
"Eflin, Zach",PHI,R,91.5,,85.3,28.5,64.7,67.5,3.97,10.7,2.3
"Weaver, Luke",ARI,R,91.4,51.5,91.6,,55.3,72.45,6.58,9.5,3.1
"Mize, Casey",DET,R,91.2,,85.5,25.3,63.4,66.35,6.99,8.3,4.1
"Bassitt, Chris",OAK,R,91,36.4,95.4,61.8,94.3,75.78,2.29,7.9,2.4
"Clarke, Taylor",ARI,R,90.8,,96.8,24.9,63.7,69.05,4.36,8.3,4.4
"Lugo, Seth",NYM,R,90.7,,92.6,30,96.4,77.425,5.15,11.5,2.5
"Lyles, Jordan",TEX,R,90.1,,95.7,26.6,79.4,72.95,7.02,5.6,3.6
"Tanaka, Masahiro",NYY,R,90.1,,83.8,21,46.9,60.45,3.56,8.3,1.5
"Plesac, Zach",CLE,R,90.1,,82,23.2,39,58.575,2.28,9.3,1
"Arrieta, Jake",PHI,R,89.6,,92.5,35.2,73.6,72.725,5.08,6.5,3.2
"Velasquez, Vince",PHI,R,89.4,,85.2,33.4,58.5,66.625,5.56,12.2,4.5
"Wojciechowski, Asher",BAL,R,89.2,,75.7,33.8,73.1,67.95,6.81,7.5,3.6
"Roark, Tanner",TOR,R,89.1,,77.9,39.5,90.7,74.3,6.8,7.7,4.3
"Lopez, Reynaldo",CWS,R,89,,81.7,28.8,,66.5,6.49,8.2,5.1
"Castillo, Luis",CIN,R,88.9,,87.4,9.8,,62.03333333,3.21,11.4,3.1
"Tomlin, Josh",ATL,R,88.8,43.9,87,,39.3,64.75,4.76,8.2,1.8
"Javier, Cristian",HOU,R,88.7,,92.4,57.2,74.7,78.25,3.48,9.4,3.3
"Clevinger, Mike",SD,R,88.7,28.9,91.9,62.3,62,66.76,3.02,9,1.4
"Wacha, Michael",NYM,R,88.5,34.7,87.5,,,70.23333333,6.62,9.8,1.9
"Porcello, Rick",NYM,R,88.4,,84,32.6,54,64.75,5.64,8.2,2.3
"Singer, Brady",KC,R,88.2,,89.8,28.8,,68.93333333,4.06,8.5,2.3
"DeSclafani, Anthony",CIN,R,88.2,,90.9,26.8,61,66.725,7.22,6.7,4.3
"Woodruff, Brandon",MIL,R,88,,93.3,19.1,55.9,64.075,3.05,11.1,2.2
"Dunn, Justin",SEA,R,87.7,,85.3,36.2,69,69.55,4.34,7.5,6.1
